,method,category,Completeness Rate,Missing Attribute Rate,Full Product Completion Rate,Product Data Failure Rate,Product Data Availability Rate,Partial Product Completion Rate
0,RAINFOREST,beauty_and_personal_care,97.5,2.5,82.0,0.0,100.0,18.0
1,RAINFOREST,clothing_shoes_jewelry,93.875,6.125,52.0,0.0,100.0,48.0
2,RAINFOREST,health_and_household,98.625,1.375,96.0,1.0,99.0,3.0
3,RAINFOREST,home_and_kitchen,97.25,2.75,81.0,0.0,100.0,19.0
4,RAINFOREST,toys_and_games,92.375,7.625,56.00000000000001,2.0,98.0,42.0
5,SELENIUM_BARE,beauty_and_personal_care,81.5,18.5,2.0,0.0,100.0,98.0
6,SELENIUM_BARE,clothing_shoes_jewelry,50.24999999999999,49.75000000000001,0.0,0.0,100.0,100.0
7,SELENIUM_BARE,health_and_household,79.875,20.125,5.0,1.0,99.0,94.0
8,SELENIUM_BARE,home_and_kitchen,91.875,8.125,50.0,0.0,100.0,50.0
9,SELENIUM_BARE,toys_and_games,76.875,23.125,16.0,2.0,98.0,82.0
10,SELENIUM_CAPTCHA,beauty_and_personal_care,81.25,18.75,0.0,0.0,100.0,100.0
11,SELENIUM_CAPTCHA,clothing_shoes_jewelry,50.125,49.875,0.0,0.0,100.0,100.0
12,SELENIUM_CAPTCHA,health_and_household,78.25,21.75,0.0,1.0,99.0,99.0
13,SELENIUM_CAPTCHA,home_and_kitchen,84.25,15.75,0.0,0.0,100.0,100.0
14,SELENIUM_CAPTCHA,toys_and_games,72.375,27.625,0.0,2.0,98.0,98.0
15,SELENIUM_CAPTCHA_ROTATE_USER_AGENT,beauty_and_personal_care,81.375,18.625,2.0,0.0,100.0,98.0
16,SELENIUM_CAPTCHA_ROTATE_USER_AGENT,clothing_shoes_jewelry,50.24999999999999,49.75000000000001,0.0,0.0,100.0,100.0
17,SELENIUM_CAPTCHA_ROTATE_USER_AGENT,health_and_household,80.0,20.0,5.0,1.0,99.0,94.0
18,SELENIUM_CAPTCHA_ROTATE_USER_AGENT,home_and_kitchen,91.875,8.125,50.0,0.0,100.0,50.0
19,SELENIUM_CAPTCHA_ROTATE_USER_AGENT,toys_and_games,76.875,23.125,16.0,2.0,98.0,82.0
20,SELENIUM_CAPTCHA_ROTATE_USER_AGENT_PROXY,beauty_and_personal_care,82.25,17.75,0.0,0.0,100.0,100.0
21,SELENIUM_CAPTCHA_ROTATE_USER_AGENT_PROXY,clothing_shoes_jewelry,50.125,49.875,0.0,1.0,99.0,99.0
22,SELENIUM_CAPTCHA_ROTATE_USER_AGENT_PROXY,health_and_household,80.625,19.375,6.0,1.0,99.0,93.0
23,SELENIUM_CAPTCHA_ROTATE_USER_AGENT_PROXY,home_and_kitchen,86.375,13.625,0.0,0.0,100.0,100.0
24,SELENIUM_CAPTCHA_ROTATE_USER_AGENT_PROXY,toys_and_games,78.0,22.0,17.0,2.0,98.0,81.0
25,SPAPI,beauty_and_personal_care,73.25,26.75,0.0,2.0,98.0,98.0
26,SPAPI,clothing_shoes_jewelry,68.75,31.25,0.0,3.0,97.0,97.0
27,SPAPI,health_and_household,73.875,26.125,0.0,1.0,99.0,99.0
28,SPAPI,home_and_kitchen,74.5,25.5,0.0,0.0,100.0,100.0
29,SPAPI,toys_and_games,74.0,26.0,0.0,1.0,99.0,99.0
30,STATIC_BARE,beauty_and_personal_care,6.125,93.875,0.0,91.0,9.0,9.0
31,STATIC_BARE,clothing_shoes_jewelry,9.75,90.25,0.0,81.0,19.0,19.0
32,STATIC_BARE,health_and_household,6.75,93.25,0.0,90.0,10.0,10.0
33,STATIC_BARE,home_and_kitchen,7.124999999999999,92.875,0.0,90.0,10.0,10.0
34,STATIC_BARE,toys_and_games,7.249999999999999,92.75,0.0,90.0,10.0,10.0
35,STATIC_ROTATE_USER_AGENT,beauty_and_personal_care,9.25,90.75,0.0,86.0,14.000000000000002,14.000000000000002
36,STATIC_ROTATE_USER_AGENT,clothing_shoes_jewelry,5.75,94.25,0.0,89.0,11.0,11.0
37,STATIC_ROTATE_USER_AGENT,health_and_household,4.875,95.125,0.0,93.0,7.000000000000001,7.000000000000001
38,STATIC_ROTATE_USER_AGENT,home_and_kitchen,5.875,94.125,0.0,92.0,8.0,8.0
39,STATIC_ROTATE_USER_AGENT,toys_and_games,5.125,94.875,0.0,93.0,7.000000000000001,7.000000000000001
40,STATIC_ROTATE_USER_AGENT_RETRIES,beauty_and_personal_care,52.125,47.875,0.0,27.0,73.0,73.0
41,STATIC_ROTATE_USER_AGENT_RETRIES,clothing_shoes_jewelry,36.625,63.375,0.0,28.000000000000004,72.0,72.0
42,STATIC_ROTATE_USER_AGENT_RETRIES,health_and_household,49.125,50.875,0.0,28.000000000000004,72.0,72.0
43,STATIC_ROTATE_USER_AGENT_RETRIES,home_and_kitchen,50.5,49.5,0.0,31.0,69.0,69.0
44,STATIC_ROTATE_USER_AGENT_RETRIES,toys_and_games,56.125,43.875,0.0,23.0,77.0,77.0
