asin,captcha,title,brand,manufacturer,description,images,price,stars,ratings_quantity,time,is_empty,id,category,method,is_valid
B0CP9Z56SW,False,True,True,True,True,True,True,True,True,4.556771993637085,False,1,home_and_kitchen,SELENIUM_BARE,False
B01M16WBW1,False,True,True,True,True,True,True,True,True,4.311195135116577,False,2,home_and_kitchen,SELENIUM_BARE,False
B0154ASID6,False,True,True,True,True,True,True,True,True,3.9735209941864014,False,3,home_and_kitchen,SELENIUM_BARE,False
B085DVNHHK,False,True,True,True,True,True,True,True,True,4.3821680545806885,False,4,home_and_kitchen,SELENIUM_BARE,False
B08QRFZ6TH,False,True,True,True,True,True,False,True,True,3.5109100341796875,False,5,home_and_kitchen,SELENIUM_BARE,False
B0725WFLMB,False,True,True,False,True,True,True,True,True,4.354387044906616,False,6,home_and_kitchen,SELENIUM_BARE,False
B0B1CNJL7N,False,True,True,True,True,True,True,True,True,4.757989883422852,False,7,home_and_kitchen,SELENIUM_BARE,False
B00NX0WXQI,False,True,True,True,True,True,True,True,True,4.648148059844971,False,8,home_and_kitchen,SELENIUM_BARE,False
B01NBNDC1T,False,True,True,False,True,True,True,True,True,4.423852205276489,False,9,home_and_kitchen,SELENIUM_BARE,False
B01LYNW421,False,True,True,False,True,True,True,True,True,4.888166904449463,False,10,home_and_kitchen,SELENIUM_BARE,False
B0C3FTCYZL,False,True,True,False,True,True,True,True,True,6.306429862976074,False,11,home_and_kitchen,SELENIUM_BARE,False
B00FXNAAW2,False,True,True,True,True,True,True,True,True,3.5962820053100586,False,12,home_and_kitchen,SELENIUM_BARE,False
B0157T2ENY,False,True,True,True,True,True,True,True,True,5.270802974700928,False,13,home_and_kitchen,SELENIUM_BARE,False
B08BZFRQLS,False,True,True,True,True,True,True,True,True,4.3091981410980225,False,14,home_and_kitchen,SELENIUM_BARE,False
B00E4GACB8,False,True,True,False,True,True,False,True,True,2.8830618858337402,False,15,home_and_kitchen,SELENIUM_BARE,False
B09D8T11YS,False,True,True,True,True,True,True,True,True,4.2257537841796875,False,16,home_and_kitchen,SELENIUM_BARE,False
B07P5NBRL5,False,True,True,True,True,True,True,True,True,4.267172813415527,False,17,home_and_kitchen,SELENIUM_BARE,False
B0016HF5GK,False,True,True,True,True,True,False,True,True,3.7429280281066895,False,18,home_and_kitchen,SELENIUM_BARE,False
B07PCQKTCN,False,True,True,True,True,True,False,True,True,3.9513862133026123,False,19,home_and_kitchen,SELENIUM_BARE,False
B0CFGYFCYL,False,True,True,False,True,True,True,True,True,4.81032395362854,False,20,home_and_kitchen,SELENIUM_BARE,False
B07T869RNY,False,True,True,False,True,True,True,False,False,3.949535846710205,False,21,home_and_kitchen,SELENIUM_BARE,False
B00MRH9NCK,False,True,True,True,True,True,True,True,True,4.118903875350952,False,22,home_and_kitchen,SELENIUM_BARE,False
B08CRPWQHB,False,True,True,True,True,True,True,True,True,3.857746124267578,False,23,home_and_kitchen,SELENIUM_BARE,False
B01MRHXM0I,False,True,True,False,True,True,True,True,True,4.255925178527832,False,24,home_and_kitchen,SELENIUM_BARE,False
B0714K41PB,False,True,True,False,True,True,True,True,True,4.597256898880005,False,25,home_and_kitchen,SELENIUM_BARE,False
B01IE7P2VW,False,True,False,True,True,True,True,True,True,3.7913239002227783,False,26,home_and_kitchen,SELENIUM_BARE,False
B09715G57M,False,True,True,True,True,True,True,True,True,4.0960798263549805,False,27,home_and_kitchen,SELENIUM_BARE,False
B00U6HREPQ,False,True,True,True,True,True,True,True,True,4.213644981384277,False,28,home_and_kitchen,SELENIUM_BARE,False
B07VVK39F7,False,True,True,True,True,True,False,True,True,3.1941239833831787,False,29,home_and_kitchen,SELENIUM_BARE,False
B007E83LUM,False,True,True,False,True,True,True,True,True,3.6035232543945312,False,30,home_and_kitchen,SELENIUM_BARE,False
B08BBZKSTS,False,True,True,True,True,True,False,True,True,3.311589002609253,False,31,home_and_kitchen,SELENIUM_BARE,False
B00NESCOY0,False,True,True,True,True,True,True,True,True,3.99666690826416,False,32,home_and_kitchen,SELENIUM_BARE,False
B07XXSYLL8,False,True,True,False,True,True,True,True,True,4.100656747817993,False,33,home_and_kitchen,SELENIUM_BARE,False
B00S93EQUK,False,True,True,True,True,True,True,True,True,3.823698043823242,False,34,home_and_kitchen,SELENIUM_BARE,False
B0C2C9NHZW,False,True,True,True,True,True,True,True,True,4.112478017807007,False,35,home_and_kitchen,SELENIUM_BARE,False
B06X9NQ8GX,False,True,True,True,True,True,True,True,True,3.8243460655212402,False,36,home_and_kitchen,SELENIUM_BARE,False
B00NLLUMOE,False,True,True,True,True,True,True,True,True,5.9701247215271,False,37,home_and_kitchen,SELENIUM_BARE,False
B0BLSCY6PR,False,True,True,True,True,True,True,True,True,3.7364439964294434,False,38,home_and_kitchen,SELENIUM_BARE,False
B0CGRGRXPY,False,True,True,True,True,True,True,True,True,3.883802890777588,False,39,home_and_kitchen,SELENIUM_BARE,False
B07WG18RLT,False,True,True,False,True,True,True,True,True,3.950601100921631,False,40,home_and_kitchen,SELENIUM_BARE,False
B0BPLB81LX,False,True,True,True,True,True,True,True,True,4.557875156402588,False,41,home_and_kitchen,SELENIUM_BARE,False
B07FPQZG6V,False,True,True,False,True,True,True,True,True,5.247648000717163,False,42,home_and_kitchen,SELENIUM_BARE,False
B08NJ6VF9T,False,True,True,True,True,True,False,True,True,3.1757559776306152,False,43,home_and_kitchen,SELENIUM_BARE,False
B0113UZJE2,False,True,True,False,True,True,True,True,True,3.4907379150390625,False,44,home_and_kitchen,SELENIUM_BARE,False
B00LS9UD2M,False,True,True,True,True,True,True,True,True,3.9524359703063965,False,45,home_and_kitchen,SELENIUM_BARE,False
B0CBP8CL71,False,True,True,False,True,True,True,True,True,4.382755756378174,False,46,home_and_kitchen,SELENIUM_BARE,False
B06X421WJ6,False,True,True,True,True,True,True,True,True,4.180020093917847,False,47,home_and_kitchen,SELENIUM_BARE,False
B08LBN2JPS,False,True,True,True,True,True,True,True,True,4.1822381019592285,False,48,home_and_kitchen,SELENIUM_BARE,False
B0C3PDTYYX,False,True,True,False,True,True,True,True,True,3.676697015762329,False,49,home_and_kitchen,SELENIUM_BARE,False
B09T3T1FYN,False,True,True,False,True,True,True,True,True,5.216763973236084,False,50,home_and_kitchen,SELENIUM_BARE,False
B0C6FCKQML,False,True,True,False,True,True,True,True,True,3.8999149799346924,False,51,home_and_kitchen,SELENIUM_BARE,False
B00730QW70,False,True,True,True,True,True,False,True,True,2.479872941970825,False,52,home_and_kitchen,SELENIUM_BARE,False
B08DTH86Q2,False,True,True,False,True,True,True,True,True,4.662407159805298,False,53,home_and_kitchen,SELENIUM_BARE,False
B081YQBPSS,False,True,True,True,True,True,True,True,True,3.776879072189331,False,54,home_and_kitchen,SELENIUM_BARE,False
B01H65F6A0,False,True,True,True,True,True,True,True,True,4.256165027618408,False,55,home_and_kitchen,SELENIUM_BARE,False
B00S1TC442,False,True,True,True,True,True,True,True,True,4.232163906097412,False,56,home_and_kitchen,SELENIUM_BARE,False
B08KXKVT4K,False,True,True,True,True,True,True,True,True,4.459382057189941,False,57,home_and_kitchen,SELENIUM_BARE,False
B07VQZSLDW,False,True,True,True,True,True,True,True,True,4.795098066329956,False,58,home_and_kitchen,SELENIUM_BARE,False
B07NYR18X4,False,True,True,True,True,True,True,True,True,3.8596532344818115,False,59,home_and_kitchen,SELENIUM_BARE,False
B08YDJS51B,False,True,True,True,True,True,False,True,True,2.994760751724243,False,60,home_and_kitchen,SELENIUM_BARE,False
B005BV0DD2,False,True,True,False,True,True,False,True,True,2.4712321758270264,False,61,home_and_kitchen,SELENIUM_BARE,False
B07JMDYDVJ,False,True,True,False,True,True,False,True,True,2.511530876159668,False,62,home_and_kitchen,SELENIUM_BARE,False
B0CWRHLCBP,False,True,True,True,True,True,False,True,True,3.003904104232788,False,63,home_and_kitchen,SELENIUM_BARE,False
B07XFQVN57,False,True,True,False,True,True,True,True,True,4.251518964767456,False,64,home_and_kitchen,SELENIUM_BARE,False
B07BYCHMVY,False,True,True,False,True,True,False,True,True,3.0647408962249756,False,65,home_and_kitchen,SELENIUM_BARE,False
B0C4Z6SKCS,False,True,True,False,True,True,False,True,True,2.6567249298095703,False,66,home_and_kitchen,SELENIUM_BARE,False
B0B7WQVYGF,False,True,True,True,True,True,True,True,True,4.031080961227417,False,67,home_and_kitchen,SELENIUM_BARE,False
B09K4SWZNY,False,True,True,False,True,True,False,True,True,2.44199275970459,False,68,home_and_kitchen,SELENIUM_BARE,False
B0BZR6YBHK,False,True,True,True,True,True,False,True,True,3.645692825317383,False,69,home_and_kitchen,SELENIUM_BARE,False
B0973DGD8P,False,True,True,False,True,True,True,True,True,4.131006240844727,False,70,home_and_kitchen,SELENIUM_BARE,False
B092VC7VK2,False,True,True,False,True,True,False,True,True,2.9068799018859863,False,71,home_and_kitchen,SELENIUM_BARE,False
B073H8STZ7,False,True,True,True,True,True,True,True,True,4.721652030944824,False,72,home_and_kitchen,SELENIUM_BARE,False
B08HVJQ2YP,False,True,True,False,True,True,True,True,True,4.262415885925293,False,73,home_and_kitchen,SELENIUM_BARE,False
B07X3BX7WM,False,True,True,True,True,True,True,True,True,4.273771047592163,False,74,home_and_kitchen,SELENIUM_BARE,False
B00JH98GR4,False,True,True,True,True,True,True,True,True,3.805516004562378,False,75,home_and_kitchen,SELENIUM_BARE,False
B09NXMDPS1,False,True,True,True,True,True,True,True,True,3.880568027496338,False,76,home_and_kitchen,SELENIUM_BARE,False
B0BHBP1X1B,False,True,True,True,True,True,True,True,True,4.30759596824646,False,77,home_and_kitchen,SELENIUM_BARE,False
B078YD8YRD,False,True,True,False,True,True,True,True,True,3.7466182708740234,False,78,home_and_kitchen,SELENIUM_BARE,False
B0158EQJSY,False,True,True,True,True,True,True,True,True,4.6091227531433105,False,79,home_and_kitchen,SELENIUM_BARE,False
