asin,title,brand,manufacturer,description,images,price,stars,ratings_quantity,time,is_empty,id,category,method,is_valid
B0CP9Z56SW,True,False,False,True,True,True,True,True,8.962243795394897,False,1,home_and_kitchen,STATIC_ROTATE_USER_AGENT_RETRIES,False
B01M16WBW1,True,False,False,True,True,True,True,True,7.461525917053223,False,2,home_and_kitchen,STATIC_ROTATE_USER_AGENT_RETRIES,False
B0154ASID6,True,False,False,True,True,True,True,True,3.3382070064544678,False,3,home_and_kitchen,STATIC_ROTATE_USER_AGENT_RETRIES,False
B085DVNHHK,True,False,False,True,True,True,True,True,6.283506870269775,False,4,home_and_kitchen,STATIC_ROTATE_USER_AGENT_RETRIES,False
B08QRFZ6TH,True,False,False,True,True,False,True,True,3.2108192443847656,False,5,home_and_kitchen,STATIC_ROTATE_USER_AGENT_RETRIES,False
B0725WFLMB,True,False,False,True,True,True,True,True,4.4093592166900635,False,6,home_and_kitchen,STATIC_ROTATE_USER_AGENT_RETRIES,False
B0B1CNJL7N,True,False,False,True,True,True,True,True,3.112301826477051,False,7,home_and_kitchen,STATIC_ROTATE_USER_AGENT_RETRIES,False
B00NX0WXQI,True,False,False,True,True,True,True,True,6.334336042404175,False,8,home_and_kitchen,STATIC_ROTATE_USER_AGENT_RETRIES,False
B01NBNDC1T,True,False,False,True,True,True,True,True,8.927597045898438,False,9,home_and_kitchen,STATIC_ROTATE_USER_AGENT_RETRIES,False
B01LYNW421,False,False,False,False,False,False,False,False,7.548587083816528,True,10,home_and_kitchen,STATIC_ROTATE_USER_AGENT_RETRIES,False
B0C3FTCYZL,True,False,False,True,True,True,True,True,5.018303155899048,False,11,home_and_kitchen,STATIC_ROTATE_USER_AGENT_RETRIES,False
B00FXNAAW2,True,False,False,True,True,True,True,True,7.777833938598633,False,12,home_and_kitchen,STATIC_ROTATE_USER_AGENT_RETRIES,False
B0157T2ENY,True,False,False,True,True,True,True,True,6.278090000152588,False,13,home_and_kitchen,STATIC_ROTATE_USER_AGENT_RETRIES,False
B08BZFRQLS,False,False,False,False,False,False,False,False,7.764970779418945,True,14,home_and_kitchen,STATIC_ROTATE_USER_AGENT_RETRIES,False
B00E4GACB8,False,False,False,False,False,False,False,False,7.145215034484863,True,15,home_and_kitchen,STATIC_ROTATE_USER_AGENT_RETRIES,False
B09D8T11YS,True,False,False,True,True,True,True,True,4.188151836395264,False,16,home_and_kitchen,STATIC_ROTATE_USER_AGENT_RETRIES,False
B07P5NBRL5,False,False,False,False,False,False,False,False,7.0577919483184814,True,17,home_and_kitchen,STATIC_ROTATE_USER_AGENT_RETRIES,False
B0016HF5GK,True,False,False,True,True,False,True,True,2.7567532062530518,False,18,home_and_kitchen,STATIC_ROTATE_USER_AGENT_RETRIES,False
B07PCQKTCN,True,False,False,True,True,False,True,True,8.31402587890625,False,19,home_and_kitchen,STATIC_ROTATE_USER_AGENT_RETRIES,False
B0CFGYFCYL,True,False,False,True,True,True,True,True,5.458719968795776,False,20,home_and_kitchen,STATIC_ROTATE_USER_AGENT_RETRIES,False
B07T869RNY,True,False,False,True,True,True,True,True,3.827854871749878,False,21,home_and_kitchen,STATIC_ROTATE_USER_AGENT_RETRIES,False
B00MRH9NCK,True,False,False,True,True,True,True,True,5.526093006134033,False,22,home_and_kitchen,STATIC_ROTATE_USER_AGENT_RETRIES,False
B08CRPWQHB,False,False,False,False,False,False,False,False,7.027853965759277,True,23,home_and_kitchen,STATIC_ROTATE_USER_AGENT_RETRIES,False
B01MRHXM0I,True,False,False,True,True,True,True,True,5.77349591255188,False,24,home_and_kitchen,STATIC_ROTATE_USER_AGENT_RETRIES,False
B0714K41PB,True,False,False,True,True,True,True,True,3.5064210891723633,False,25,home_and_kitchen,STATIC_ROTATE_USER_AGENT_RETRIES,False
B01IE7P2VW,False,False,False,False,False,False,False,False,7.060935974121094,True,26,home_and_kitchen,STATIC_ROTATE_USER_AGENT_RETRIES,False
B09715G57M,True,False,False,True,True,True,True,True,6.855984210968018,False,27,home_and_kitchen,STATIC_ROTATE_USER_AGENT_RETRIES,False
B00U6HREPQ,False,False,False,False,False,False,False,False,7.055886745452881,True,28,home_and_kitchen,STATIC_ROTATE_USER_AGENT_RETRIES,False
B07VVK39F7,False,False,False,False,False,False,False,False,7.064007997512817,True,29,home_and_kitchen,STATIC_ROTATE_USER_AGENT_RETRIES,False
B007E83LUM,True,False,False,True,True,True,True,True,6.800451993942261,False,30,home_and_kitchen,STATIC_ROTATE_USER_AGENT_RETRIES,False
B08BBZKSTS,False,False,False,False,False,False,False,False,7.108208179473877,True,31,home_and_kitchen,STATIC_ROTATE_USER_AGENT_RETRIES,False
B00NESCOY0,True,False,False,True,True,True,True,True,5.2373597621917725,False,32,home_and_kitchen,STATIC_ROTATE_USER_AGENT_RETRIES,False
B07XXSYLL8,True,False,False,True,True,True,True,True,7.603702783584595,False,33,home_and_kitchen,STATIC_ROTATE_USER_AGENT_RETRIES,False
B00S93EQUK,True,False,False,True,True,True,True,True,8.364256858825684,False,34,home_and_kitchen,STATIC_ROTATE_USER_AGENT_RETRIES,False
B0C2C9NHZW,True,False,False,True,True,True,True,True,7.9336628913879395,False,35,home_and_kitchen,STATIC_ROTATE_USER_AGENT_RETRIES,False
B06X9NQ8GX,True,False,False,True,True,True,True,True,3.5036089420318604,False,36,home_and_kitchen,STATIC_ROTATE_USER_AGENT_RETRIES,False
B00NLLUMOE,False,False,False,False,False,False,False,False,7.137322902679443,True,37,home_and_kitchen,STATIC_ROTATE_USER_AGENT_RETRIES,False
B0BLSCY6PR,False,False,False,False,False,False,False,False,7.098590850830078,True,38,home_and_kitchen,STATIC_ROTATE_USER_AGENT_RETRIES,False
B0CGRGRXPY,False,False,False,False,False,False,False,False,7.02112889289856,True,39,home_and_kitchen,STATIC_ROTATE_USER_AGENT_RETRIES,False
B07WG18RLT,True,False,False,True,True,True,True,True,4.589538097381592,False,40,home_and_kitchen,STATIC_ROTATE_USER_AGENT_RETRIES,False
B0BPLB81LX,True,False,False,True,True,True,True,True,4.632386922836304,False,41,home_and_kitchen,STATIC_ROTATE_USER_AGENT_RETRIES,False
B07FPQZG6V,False,False,False,False,False,False,False,False,7.04549503326416,True,42,home_and_kitchen,STATIC_ROTATE_USER_AGENT_RETRIES,False
